ANIKINDS,BE,30.5,33.45,30.5,33.45,33.45,32,970,30061.45,04-APR-2016,7,INE087B01017,
ANKITMETAL,EQ,1.6,1.65,1.55,1.6,1.6,1.6,78043,124106.9,04-APR-2016,67,INE106I01010,
ANSALAPI,EQ,18.9,20.65,18.7,20,20.4,18.35,450405,8763666.8,04-APR-2016,1997,INE436A01026,
ANSALHSG,EQ,20.9,22,20.15,20.9,20.95,20.55,132091,2780923.9,04-APR-2016,458,INE880B01015,
ANTGRAPHIC,BE,0.65,0.65,0.65,0.65,0.65,0.7,28823,18734.95,04-APR-2016,14,INE414B01021,
APARINDS,EQ,463.15,468.9,460.1,464.1,463.3,458.7,7127,3311272.25,04-APR-2016,565,INE372A01015,
APCOTEXIND,EQ,209.1,222.4,209.1,218.6,221,217.7,1087,235894.7,04-APR-2016,59,INE116A01024,
APLAPOLLO,EQ,700,700,683.85,685.65,686.6,686,11479,7941313.75,04-APR-2016,601,INE702C01019,
APLLTD,EQ,592.1,599.65,592,596.15,597,592.65,105368,62701563.4,04-APR-2016,4243,INE901L01018,
APOLLOHOSP,EQ,1356,1364.85,1340.5,1354.35,1350.1,1348.95,145809,197200958.45,04-APR-2016,16187,INE437A01024,
APOLLOTYRE,EQ,174.4,175.6,169.1,171.3,171.95,174.4,2140904,366743970.65,04-APR-2016,15743,INE438A01022,
APOLSINHOT,EQ,206.15,206.15,206.15,206.15,206.15,217,106,21851.9,04-APR-2016,3,INE451F01016,
APTECHT,EQ,59.8,61.45,58.95,60.7,60.55,59.05,353693,21363682.3,04-APR-2016,2645,INE266F01018,
ARCHIDPLY,EQ,46.1,49,46.1,48.1,48.75,46.6,47212,2234749.5,04-APR-2016,478,INE877I01016,
ARCHIES,EQ,21.3,21.3,20.7,21,21.05,21.1,50194,1053078.9,04-APR-2016,214,INE731A01020,
ARCOTECH,EQ,397.95,408.2,390,395.05,392,394.55,198277,78138440.7,04-APR-2016,3916,INE574I01027,
ARIES,EQ,92,92.5,88.5,89.35,89.1,90.95,18004,1618876.8,04-APR-2016,241,INE298I01015,
